x0000,y0000
0.,-168.
1.,-459.
2.,-485.
3.,-353.
4.,-511.
5.,-353.
6.,-353.
7.,-564.
8.,-274.
9.,-432.
10.,-511.
11.,-247.
12.,-485.
13.,-432.
14.,-221.
15.,-538.
16.,-353.
17.,-353.
18.,-591.
19.,-274.
20.,-432.
21.,-379.
22.,-274.
23.,-564.
24.,-379.
25.,-274.
26.,-564.
27.,-353.
28.,-274.
29.,-564.
30.,-300.
31.,-327.
32.,-591.
33.,-300.
34.,-327.
35.,-591.
36.,-300.
37.,-406.
38.,-591.
39.,-274.
40.,-459.
41.,-538.
42.,-274.
43.,-485.
44.,-538.
45.,-247.
46.,-459.
47.,-485.
48.,-247.
49.,-538.
50.,-379.
51.,-274.
52.,-511.
53.,-379.
54.,-274.
55.,-511.
56.,-406.
57.,-300.
58.,-564.
59.,-327.
60.,-379.
61.,-564.
62.,-300.
63.,-353.
64.,-564.
65.,-300.
66.,-406.
67.,-511.
68.,-274.
69.,-459.
70.,-485.
71.,-247.
72.,-459.
73.,-485.
74.,-247.
75.,-459.
76.,-485.
77.,-247.
78.,-511.
79.,-406.
80.,-274.
81.,-538.
82.,-406.
83.,-300.
84.,-564.
85.,-406.
86.,-300.
87.,-564.
88.,-327.
89.,-353.
90.,-564.
91.,-300.
92.,-379.
93.,-538.
94.,-300.
95.,-379.
96.,-511.
97.,-221.
98.,-459.
99.,-485.
